Date,Value,Ratio, Buy USD,Buy BTC,Sell BTC, Sell USD ,BTC Total, BTC Total USD , Total Profit 
1/2/17,1015.97,0.33,500.00,0.49,,,0.49,500.00,
1/9/17,910.49,0.34,500.00,0.55,,,1.04,948.09,
1/16/17,830.50,0.34,500.00,0.60,,,1.64,1364.80,
1/23/17,922.07,0.35,500.00,0.54,,,2.19,2015.28,
1/30/17,912.19,0.35,500.00,0.55,,,2.73,2493.68,
2/6/17,1024.01,0.36,500.00,0.49,,,3.22,3299.38,
2/13/17,999.88,0.36,500.00,0.50,,,3.72,3721.61,
2/20/17,1050.87,0.36,500.00,0.48,,,4.20,4411.41,
2/27/17,1190.75,0.36,500.00,0.42,,,4.62,5498.61,
3/6/17,1275.20,0.38,500.00,0.39,,,5.01,6388.56,
3/13/17,1227.68,0.39,500.00,0.41,,,5.42,6650.51,
3/20/17,1049.08,0.39,500.00,0.48,,,5.89,6183.03,
3/27/17,1037.23,0.39,500.00,0.48,,,6.38,6613.16,
4/3/17,1079.99,0.38,500.00,0.46,,,6.84,7385.79,
4/10/17,1207.74,0.38,500.00,0.41,,,7.25,8759.48,
4/17/17,1205.63,0.37,500.00,0.41,,,7.67,9244.17,
4/24/17,1240.84,0.36,500.00,0.40,,,8.07,10014.11,
5/1/17,1417.17,0.35,500.00,0.35,,,8.42,11937.19,
5/8/17,1640.62,0.36,500.00,0.30,,,8.73,14319.33,
5/15/17,1780.00,0.40,500.00,0.28,,,9.01,16035.85,
5/22/17,2090.66,0.43,250.00,0.12,,,9.13,19084.58,
5/29/17,2275.93,0.47,250.00,0.11,,,9.24,21025.80,
6/5/17,2529.53,0.52,,,,,9.24,23368.63,
6/12/17,2657.68,0.57,,,,,9.24,24552.47,
6/19/17,2617.21,0.61,,,,,9.24,24178.65,
6/26/17,2502.03,0.64,,,,,9.24,23114.57,
7/3/17,2561.23,0.65,,,,,9.24,23661.44,
7/10/17,2366.17,0.65,,,,,9.24,21859.46,
7/17/17,1910.96,0.63,,,,,9.24,17654.08,
7/24/17,2751.82,0.61,,,,,9.24,25422.23,
7/31/17,2866.43,0.58,,,,,9.24,26481.04,
8/7/17,3210.20,0.56,,,,,9.24,29656.88,
8/14/17,4282.99,0.57,,,,,9.24,39567.69,
8/21/17,4043.72,0.60,,,,,9.24,37357.23,
8/28/17,4339.05,0.62,,,,,9.24,40085.57,
9/4/17,4344.10,0.66,,,1.23,5334.55,8.01,34797.65,5334.55
9/11/17,4248.09,0.68,,,,,8.01,34027.20,
9/18/17,3678.53,0.68,,,,,8.01,29465.03,
9/25/17,3942.56,0.68,,,,,8.01,31579.87,
10/2/17,4386.88,0.66,,,,,8.01,35138.94,
10/9/17,4605.66,0.63,,,,,8.01,36891.34,
10/16/17,5711.21,0.62,,,,,8.01,45746.76,
10/23/17,5876.08,0.62,,,,,8.01,47067.40,
10/30/17,6136.49,0.61,,,,,8.01,49153.28,
11/6/17,6989.07,0.64,,,,,8.01,55982.46,
11/13/17,6550.23,0.67,,,,,8.01,52467.32,
11/20/17,8049.72,0.69,,,,,8.01,64478.26,
11/27/17,9718.30,0.73,,,,,8.01,77843.54,
12/4/17,11584.83,0.76,,,1.60,18535.73,6.41,74262.56,23870.28
12/11/17,15068.95,0.83,,,1.66,25014.46,4.75,71582.46,48884.74
12/18/17,18961.86,0.92,,,1.56,29580.50,3.19,60494.55,78465.23
12/25/17,14119.03,0.95,,,1.16,16378.07,2.03,28666.26,94843.31
1/1/18,13796.00,0.97,,,0.67,9243.32,1.36,18767.09,104086.63
1/8/18,15265.91,1.00,,,0.45,6839.13,0.91,13927.52,110925.75
1/15/18,14012.20,1.00,,,0.30,4203.66,0.61,8580.06,115129.41
1/22/18,11513.42,0.96,,,0.20,2302.68,0.41,4747.31,117432.10
1/29/18,11212.66,0.88,,,,,0.41,4623.29,
2/5/18,6838.82,0.76,,,,,0.41,2819.84,
2/12/18,8068.02,0.66,,,,,0.41,3326.67,
2/19/18,11110.97,0.59,,,,,0.41,4581.37,
