,buy_status,payment_method_id,payment_method_resource,tx_id,tx_resource,buy_amount,buy_amount_currency,buy_total,buy_total_currency,buy_sub_total,buy_sub_total_currency,buy_date,buy_update_date,resource,buy_committed,buy_instant,buy_payout_date
0,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,3acd71ab-e7de-5124-a7fd-61016b21e1da,transaction,0.3650942244,DOT,10.0,USD,9.01,USD,2021-08-27 01:10:24+00:00,2021-08-27 01:45:54+00:00,buy,True,True,2021-08-27 01:10:24+00:00
1,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,4e2a3fd5-f49a-5f9e-b770-97eaa4b9396b,transaction,0.3337426052,DOT,10.0,USD,9.01,USD,2021-08-20 02:28:04+00:00,2021-08-20 02:45:52+00:00,buy,True,True,2021-08-20 02:28:04+00:00
2,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,590b6778-6041-5996-a496-9a8369ffac97,transaction,0.4208896396,DOT,10.0,USD,9.01,USD,2021-08-13 03:36:17+00:00,2021-08-13 04:15:17+00:00,buy,True,True,2021-08-13 03:36:17+00:00
3,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,6c4ae04f-13a0-50cb-a8a6-968ea26b289f,transaction,0.4793459093,DOT,10.0,USD,9.01,USD,2021-08-06 01:17:38+00:00,2021-08-06 01:45:26+00:00,buy,True,True,2021-08-06 01:17:38+00:00
4,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,429d6d87-ba8e-58dc-8afa-ceb93b7f66b2,transaction,0.5788964182,DOT,10.0,USD,9.01,USD,2021-07-30 03:15:52+00:00,2021-07-30 03:45:25+00:00,buy,True,True,2021-07-30 03:15:51+00:00
5,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,330e8797-92e4-5d9d-ab9a-33e270e5df07,transaction,0.6699529464,DOT,10.0,USD,9.01,USD,2021-07-23 02:42:02+00:00,2021-07-23 14:02:32+00:00,buy,True,True,2021-07-23 02:42:02+00:00
6,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,7ac7145b-d564-5e23-b4be-d095137a74af,transaction,0.6831162897,DOT,10.0,USD,9.01,USD,2021-07-16 02:36:36+00:00,2021-07-16 13:58:34+00:00,buy,True,True,2021-07-16 02:36:36+00:00
7,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,cd67e69a-afbf-5137-9d72-9d578eed2456,transaction,0.588961643,DOT,10.0,USD,9.01,USD,2021-07-08 23:14:18+00:00,2021-07-09 14:01:46+00:00,buy,True,True,2021-07-08 23:14:21+00:00
8,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,6a899925-bd7b-5524-a306-706e6151f777,transaction,1.1453212143,DOT,20.0,USD,18.51,USD,2021-07-04 16:51:32+00:00,2021-07-06 14:26:08+00:00,buy,True,True,2021-07-04 16:51:35+00:00
9,completed,1763f008-b84d-544c-a458-4b29c80b9d14,payment_method,b2d2154d-79c7-5e93-89be-3d4222e92129,transaction,45.1167499,KEEP,25.0,USD,23.51,USD,2021-06-18 19:20:04+00:00,2021-06-18 19:20:09+00:00,buy,True,True,2021-06-18 19:20:07+00:00
10,completed,1763f008-b84d-544c-a458-4b29c80b9d14,payment_method,305c6092-a1bb-54a1-87bb-e2d43313d45b,transaction,45.03857301,KEEP,25.0,USD,23.51,USD,2021-06-18 19:18:01+00:00,2021-06-18 19:18:07+00:00,buy,True,True,2021-06-18 19:18:04+00:00
11,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,ddbe7df8-f977-5c5d-81e0-b7d51529881e,transaction,66.74473068,AMP,5.0,USD,4.01,USD,2021-08-15 19:55:26+00:00,2021-08-15 20:15:42+00:00,buy,True,True,2021-08-15 19:55:26+00:00
12,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,fc46bfe9-7439-5f63-9c7c-7b47cd229a67,transaction,56.3002681,AMP,5.0,USD,4.01,USD,2021-08-01 19:24:37+00:00,2021-08-01 19:45:37+00:00,buy,True,True,2021-08-01 19:24:36+00:00
13,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,574aa0df-0e69-5459-8413-96200fb78ca0,transaction,84.69539376,AMP,5.0,USD,4.01,USD,2021-07-15 16:21:02+00:00,2021-07-15 17:47:14+00:00,buy,True,True,2021-07-15 16:21:01+00:00
14,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,d01b23e0-ff36-5cb8-aaf4-47fb8f2b53ef,transaction,69.46465445,AMP,5.0,USD,4.01,USD,2021-07-04 15:48:01+00:00,2021-07-06 14:21:36+00:00,buy,True,True,2021-07-04 15:48:03+00:00
15,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,4239dca8-9f49-58dc-b518-61e85a060dca,transaction,69.440476,AMP,5.0,USD,4.01,USD,2021-07-04 15:47:18+00:00,2021-07-06 14:21:16+00:00,buy,True,True,2021-07-04 15:47:25+00:00
16,canceled,708da641-59c1-57d8-a454-1e2d7e27ff4b,payment_method,1ac01ba4-42ef-5301-b7ae-3ba935646f83,transaction,69.440476,AMP,5.0,USD,4.01,USD,2021-07-04 15:45:44+00:00,2021-07-04 15:45:51+00:00,buy,True,True,2021-07-04 15:45:47+00:00
