Date,Value,Ratio, Buy (USD) ,Buy(BTC),Sell %,Sell (BTC), Sell (USD) ,BTC Total, BTC Total (USD) , Total Profit 
1/2/17,1015.97,0.329783058, $500.00 ,0.492140516,,,,0.492140516, $500.00 ,
1/9/17,910.49,0.342278343, $500.00 ,0.549154851,,,,1.041295367, $948.09 ,
1/16/17,830.5,0.342127006, $500.00 ,0.60204696,,,,1.643342326," $1,364.80 ",
1/23/17,922.0736125,0.346500098, $500.00 ,0.542256056,,,,2.185598382," $2,015.28 ",
1/30/17,912.19,0.350034834, $500.00 ,0.54813142,,,,2.733729802," $2,493.68 ",
2/6/17,1024.01375,0.359038166, $500.00 ,0.488274694,,,,3.222004495," $3,299.38 ",
2/13/17,999.877375,0.362662306, $500.00 ,0.50006132,,,,3.722065815," $3,721.61 ",
2/20/17,1050.87,0.359171619, $500.00 ,0.475796245,,,,4.19786206," $4,411.41 ",
2/27/17,1190.75195,0.359370962, $500.00 ,0.419902735,,,,4.617764795," $5,498.61 ",
3/6/17,1275.197375,0.378448524, $500.00 ,0.392096165,,,,5.00986096," $6,388.56 ",
3/13/17,1227.68,0.389697654, $500.00 ,0.407272253,,,,5.417133213," $6,650.51 ",
3/20/17,1049.084488,0.393375248, $500.00 ,0.476606037,,,,5.89373925," $6,183.03 ",
3/27/17,1037.22925,0.385789467, $500.00 ,0.482053509,,,,6.375792759," $6,613.16 ",
4/3/17,1079.99,0.379002898, $500.00 ,0.46296725,,,,6.838760009," $7,385.79 ",
4/10/17,1207.744875,0.377892637, $500.00 ,0.413994719,,,,7.252754728," $8,759.48 ",
4/17/17,1205.634875,0.371308486, $500.00 ,0.414719257,,,,7.667473985," $9,244.17 ",
4/24/17,1240.84,0.359460803, $500.00 ,0.402952838,,,,8.070426824," $10,014.11 ",
5/1/17,1417.172813,0.354760708, $500.00 ,0.352815123,,,,8.423241947," $11,937.19 ",
5/8/17,1640.619225,0.364913361, $500.00 ,0.304762978,,,,8.728004924," $14,319.33 ",
5/15/17,1780,0.395465334, $500.00 ,0.280898876,,,,9.008903801," $16,035.85 ",
5/22/17,2090.662313,0.430362895, $250.00 ,0.119579331,,,,9.128483131," $19,084.58 ",
5/29/17,2275.9307,0.473890248, $250.00 ,0.109845172,,,,9.238328304," $21,025.80 ",
6/5/17,2529.53,0.519808202,,,,,,9.238328304," $23,368.63 ",
6/12/17,2657.675063,0.573769276,,,,,,9.238328304," $24,552.47 ",
6/19/17,2617.210263,0.611698195,,,,,,9.238328304," $24,178.65 ",
6/26/17,2502.03,0.639159486,,,,,,9.238328304," $23,114.57 ",
7/3/17,2561.225429,0.648526439,,,,,,9.238328304," $23,661.44 ",
